-11 -109 -11 -11 59 59 -25 -32 -32 38 38 -25 -25 45 45 -53 38 38 38 38 -102 -67 31 31 -109 -109 -67 -67 3 3 10 101 101 101 101 -39 17 17 -18 -18 -11 80 80 80 80 -60 -4 87 87 87 87 -53 -186 -186 -95 -95
-6 -4 4 4 1 1 -6 -13 -13 -1 -1 4 4 1 1 -3 9 9 9 9 -9 -4 4 4 1 1 -12 -12 0 0 -4 8 8 8 8 -10 4 4 1 1 -3 9 9 9 9 -9 -4 8 8 8 8 -10 -19 -19 -7 -7
-66 4 -129 -129 95 95 -108 -31 -31 -122 -122 39 39 53 53 -94 130 130 130 130 -66 -10 -38 -38 81 81 32 32 -164 -164 -101 123 123 123 123 -73 25 25 39 39 -108 116 116 116 116 -80 -143 81 81 81 81 -115 -52 -52 -248 -248
73 -32 -60 -158 66 66 66 38 45 -46 -46 -67 -60 59 59 -88 31 31 38 38 -53 -200 87 94 3 3 -18 -11 -102 -102 -39 80 80 87 87 -4 80 87 -4 -4 -46 -32 -32 -25 -25 -116 -46 73 73 80 80 -11 -53 -53 -39 -32
-5 -110 37 37 -5 -19 2 -61 -61 2 -12 44 44 2 -12 -19 44 30 44 30 -12 -12 30 30 -12 -26 30 30 -12 -26 -33 30 16 30 16 -26 37 37 -5 -19 -26 37 23 37 23 -19 -61 2 23 2 23 -19 -166 -40 23 23
46 -143 -80 -80 -3 46 46 109 109 -24 -80 -80 -80 -3 46 -143 60 109 60 109 -24 -24 144 144 -94 -45 -45 -45 -73 -24 -108 95 144 95 144 -94 144 144 -94 -45 -129 74 -192 74 -192 -115 -108 95 144 95 144 -94 -178 -129 74 74
74 116 -52 -178 74 116 165 -3 -24 -87 165 -171 18 165 -213 -150 -3 -171 -24 18 165 -157 95 74 -199 -157 137 116 -157 -115 -52 95 137 74 116 -157 186 165 -108 -66 -213 -66 186 -87 165 -108 39 186 -192 165 -213 -66 -213 39 186 165
46 -38 60 -38 -3 53 4 -108 4 39 -10 18 -80 -45 11 18 53 4 -45 11 46 39 32 39 -136 25 53 -45 -10 46 53 -17 -171 -10 46 -24 -10 -3 32 -17 -10 25 -24 32 -17 18 11 46 -3 -52 4 39 46 -3 -73 39
33 -51 -37 -58 47 47 40 -51 33 -2 -2 -30 -51 54 54 -37 -37 -37 47 47 -9 19 33 12 -23 -23 -51 -72 33 33 -58 47 47 26 26 -30 40 19 -16 -16 33 -2 -2 -23 -23 -79 -51 54 54 33 33 -128 47 47 -9 -30
48 -15 34 -162 55 55 41 -120 -1 6 6 27 -64 48 48 -15 -8 -8 6 6 13 -57 27 41 13 13 -36 -22 -50 -50 27 34 34 48 48 -85 20 34 6 6 -22 -15 -15 -1 -1 -29 20 27 27 41 41 -92 -15 -15 -8 6
-9 -93 -58 -58 33 40 -16 19 19 5 12 -65 -65 26 33 -30 61 68 61 68 -51 -86 54 54 40 47 -30 -30 -44 -37 5 96 103 96 103 -226 47 47 33 40 -128 -37 -30 -37 -30 -44 -2 89 96 89 96 -128 -86 -184 12 12
23 -54 -40 -40 23 23 23 37 37 -110 -5 -40 -40 23 23 -26 37 37 37 37 -5 23 37 37 -5 -110 -40 -40 23 23 -26 37 37 37 37 -5 37 37 -5 -5 -54 9 9 9 9 -33 -26 37 37 37 37 -110 -54 -54 9 9
54 -30 19 -128 96 89 54 -2 -44 -135 -37 19 -128 96 89 -79 40 33 -2 -9 5 -65 -16 47 61 54 -100 -37 -58 -65 12 26 19 89 82 -149 -16 47 61 54 -9 5 -2 -37 -44 -30 12 26 19 89 82 -149 33 26 -65 -2
25 32 -3 -122 39 39 -52 -87 4 60 60 -185 11 67 67 -24 32 32 18 18 -31 -38 32 18 -31 -31 39 25 -24 -24 -10 46 46 32 32 -122 -45 -59 -3 -3 11 67 67 53 53 -101 18 74 74 60 60 -94 -80 -80 -24 -38
54 -72 -170 -65 40 68 54 61 61 -44 -16 -65 -170 40 68 -58 47 75 47 75 -30 -114 103 103 -2 26 -23 -23 -128 -100 -16 89 117 89 117 -93 103 103 -2 26 -100 5 -177 5 -177 -72 -16 89 117 89 117 -93 -114 -86 19 19
-2 -13 -1 -2 9 9 -2 -5 -6 5 5 -1 -2 9 9 -5 6 6 5 5 -29 -10 2 1 -3 -3 -24 -10 1 1 2 13 13 12 12 -7 2 1 -3 -3 -2 9 9 8 8 -11 2 13 13 12 12 -7 -21 -21 -10 -11
94 -11 59 -130 80 38 73 -102 -46 24 87 38 -151 59 17 -81 -11 52 -60 -102 73 3 38 94 -81 -123 -32 -11 -11 -53 59 24 -18 80 38 -137 17 73 -67 -4 -102 -32 31 24 87 -88 38 3 -39 59 17 -18 -11 52 17 73
2 -2 -2 -2 2 2 2 2 2 -4 -4 -2 -2 2 2 -2 2 2 2 2 -4 2 2 2 1 1 -7 -7 2 2 -7 2 2 2 2 1 2 2 1 1 2 1 1 1 1 -20 -7 2 2 2 2 1 2 2 1 1
79 -19 -54 -75 114 100 79 -61 23 -103 -12 -54 -180 114 100 -110 -26 -40 58 44 23 -103 72 51 30 16 -26 -47 -68 -82 -82 107 93 86 72 -264 72 51 30 16 16 -110 -19 -26 -40 -61 -82 107 93 86 72 -159 51 37 16 -5
41 -71 -36 -36 41 41 41 13 13 -15 -15 -36 -36 41 41 -64 13 13 13 13 -15 -43 62 62 -36 -36 -50 -50 -43 -43 -15 62 62 62 62 -36 62 62 -36 -36 -71 6 6 6 6 -92 -15 62 62 62 62 -36 -71 -71 6 6
19 -44 -44 -44 47 26 12 12 12 -2 -23 -51 -51 40 19 -51 40 19 40 19 5 -51 54 54 40 19 -9 -9 -58 -79 -9 82 61 82 61 -198 47 47 33 12 -93 -107 12 -107 12 -2 -16 75 54 75 54 -100 -65 -51 40 40
37 -26 44 -61 23 23 -61 -96 44 23 23 -54 -19 -40 -40 51 30 30 30 30 9 44 9 9 -12 -12 51 -159 30 30 16 -5 -5 -5 -5 -26 -89 51 30 30 16 -5 -5 -5 -5 -26 58 37 37 37 37 16 -33 -33 -54 -54
62 -85 62 -141 76 76 -127 -85 62 69 69 -127 -85 -78 -78 62 69 69 76 76 -22 62 -1 6 -92 -92 62 -141 76 76 6 13 13 20 20 -78 -85 62 69 69 -1 6 6 13 13 -85 62 69 69 76 76 -22 -92 -92 -85 -78
10 -1 -8 -8 10 -3 13 6 6 -21 11 -5 -5 13 -15 -12 6 -7 6 -7 11 -21 17 17 -10 -8 6 6 -21 -19 -1 17 4 17 4 -8 20 20 -7 -5 -37 -19 18 -19 18 -9 2 20 -8 20 -8 -5 -37 0 18 18
20 -71 -8 -169 20 -71 118 -64 20 -36 118 90 -71 118 -99 -8 -64 90 20 -71 118 118 -64 20 -36 118 90 -71 118 -99 -8 -64 90 20 -71 118 34 118 -148 -120 -64 -120 34 -36 118 -148 90 34 -148 118 -99 -120 -64 90 34 118
111 -169 69 -197 188 188 111 -71 -127 48 48 69 -197 188 188 -169 -99 -99 -50 -50 20 -176 62 111 -29 -29 -218 -169 -99 -99 69 139 139 188 188 -267 62 111 -29 -29 -71 -1 -1 48 48 -197 69 139 139 188 188 -267 -99 -99 -29 20
-1 9 1 -1 3 9 10 2 0 -11 10 -18 -5 14 -10 -13 6 -18 4 -5 14 -2 5 3 -8 -2 15 13 -28 -22 -10 9 15 7 13 -28 16 14 3 -21 -29 -10 16 -12 14 3 1 20 -4 18 -6 -17 -25 1 20 18
-24 -31 18 11 18 18 -101 -52 -59 53 53 -164 -66 46 46 -17 95 95 88 88 -115 -24 25 18 -80 -80 18 11 18 18 -45 67 67 60 60 -143 -52 -59 53 53 -10 102 102 95 95 -108 -17 95 95 88 88 -115 -178 -178 -66 -73
5 -3 8 -31 13 13 4 0 -9 5 5 7 -17 12 12 -6 -7 -7 -1 -1 -2 -27 -1 5 4 4 -9 -3 -4 -4 8 7 7 13 13 -18 -2 4 3 3 0 -1 -1 5 5 -11 7 6 6 12 12 -19 -7 -7 -8 -2
2 -124 -89 -187 2 -54 58 93 100 -131 23 -33 -26 58 2 9 93 37 100 44 23 58 93 100 -131 23 -33 -26 58 2 9 93 37 100 44 23 44 51 -75 -26 -124 -40 9 -33 16 -110 -40 44 -12 51 -5 -26 -124 -75 9 16
18 -10 -3 -10 32 18 46 53 46 -17 -31 -220 -122 60 46 -115 67 53 60 46 -17 -59 53 46 -17 -31 25 18 -45 -59 -80 67 53 60 46 -122 81 74 11 -3 -24 -87 4 -94 -3 -66 -87 95 81 88 74 -94 -10 -24 18 11
-39 45 31 -144 101 101 31 17 -158 87 87 -4 -74 66 66 -88 -53 -53 -18 -18 17 -60 -74 -39 -4 -4 10 45 -60 -60 31 66 66 101 101 -214 -4 31 -39 -39 17 52 52 87 87 -88 -4 31 31 66 66 -144 -53 -53 -18 17
5 -13 -22 1 7 -8 3 9 2 -7 8 -9 -1 5 -10 5 11 -4 4 4 10 -7 14 7 -32 13 -4 -11 -5 -5 10 16 1 9 9 15 12 5 -19 11 -4 2 -13 -5 -5 1 8 14 -1 7 7 13 -17 -17 -11 -18
-109 -4 -144 -144 -4 -4 31 -4 -4 31 31 101 101 -74 -74 -60 101 101 101 101 -74 31 -4 -4 31 31 101 101 -74 -74 -60 101 101 101 101 -74 31 31 -39 -39 -130 31 31 31 31 -39 -130 31 31 31 31 -144 -130 -130 31 31
47 -121 -100 -9 47 26 47 47 33 -16 -37 -100 -9 47 26 -9 47 26 33 12 -37 -44 82 68 19 -2 -86 -100 -44 -65 26 82 61 68 47 -2 82 68 19 -2 -72 -121 -2 -135 -16 -65 26 82 61 68 47 -2 -72 -58 -2 -16
-2 3 5 -20 17 17 3 5 -20 17 17 -5 -15 7 7 -13 -6 -6 -1 -1 -9 -14 -7 -2 -30 -30 -2 3 5 5 5 12 12 17 17 -11 -2 3 5 5 5 12 12 17 17 -11 -5 2 2 7 7 -21 -6 -6 -14 -9
33 -30 33 -163 47 47 26 -37 -2 -2 -2 26 -65 40 40 -2 -2 -2 12 12 -9 -44 -2 33 33 33 -44 -30 -30 -30 33 33 33 47 47 -79 -9 26 26 26 -37 -37 -37 -2 -2 -23 26 26 26 40 40 -86 -2 -2 -23 -9
-79 -65 -9 -9 61 61 -79 -23 -23 47 47 -9 -9 -79 -79 -58 117 117 117 117 -163 -65 -9 -9 -79 -79 -100 -100 75 75 -44 131 131 131 131 -149 -9 -9 61 61 -58 117 117 117 117 -163 -44 131 131 131 131 -149 -268 -268 -93 -93
58 65 9 -89 79 -12 30 -26 -19 -61 58 -124 -12 51 65 -68 -5 9 2 -89 79 -5 44 51 9 -82 51 58 -124 -110 2 65 -26 72 -19 -96 16 23 -19 -5 -33 -75 44 -68 51 9 -26 37 51 44 58 -124 -12 2 65 72
-3 6 10 10 -10 -3 -4 0 0 -5 -13 4 4 4 -4 -7 8 0 8 0 -5 7 11 11 -14 -7 -15 -15 0 7 -11 4 11 4 11 -14 5 5 5 -3 -6 9 1 9 1 -9 -17 -2 5 -2 5 5 -13 -6 9 9
-2 4 13 13 3 -11 -2 7 7 -8 -22 13 13 3 -11 -23 12 -2 12 -2 -17 -2 7 7 -3 -2 -17 -17 -12 4 -8 -3 13 -3 13 3 7 7 -3 -2 -14 6 7 6 7 -8 -8 -3 13 -3 13 3 -9 -23 12 12
6 -10 -8 -8 5 0 6 8 8 -9 1 -8 -8 5 0 -6 7 2 7 2 0 -4 13 13 -4 -9 -3 -3 -5 -10 -1 12 7 12 7 -10 13 13 -4 -9 -35 -7 8 -7 8 -9 -1 12 7 12 7 -10 -21 -6 7 7
20 -43 27 -78 62 62 -50 -85 20 55 55 -43 -43 -113 -113 27 62 62 62 62 -8 20 -15 -15 -15 -15 27 -78 62 62 -8 27 27 27 27 -183 -85 20 55 55 -15 20 20 20 20 -85 27 62 62 62 62 -8 -78 -78 -43 -43
10 -15 -9 -9 10 1 10 16 16 -10 -19 -9 -9 10 1 -21 16 7 16 7 -19 -29 22 22 -4 2 -3 -3 -29 -23 -15 22 13 22 13 2 22 22 -4 2 -20 -28 8 -28 8 -18 -15 22 13 22 13 2 -20 -29 8 8
75 5 -30 -128 75 19 54 19 26 -107 68 -51 -44 54 -2 -79 19 -37 26 -30 68 -2 68 75 -58 -93 -2 5 -2 -58 -30 68 12 75 19 -93 47 54 -79 -9 19 -114 61 -107 68 -65 -51 47 -9 54 -2 -9 19 -37 61 68
-36 6 6 6 90 83 -36 -36 -36 -267 -169 6 6 90 83 -99 90 83 90 83 -43 6 6 6 90 83 -57 -57 -78 -85 -57 27 20 27 20 -106 6 6 90 83 -99 90 83 90 83 -43 -57 27 20 27 20 -106 27 20 -106 -106
37 -19 -131 -26 30 44 37 30 30 -19 -5 -26 -131 30 44 -33 23 37 23 37 -12 -145 58 58 9 23 2 2 -47 -33 -5 51 65 51 65 -89 58 58 9 23 -54 2 -89 2 -89 -33 -5 51 65 51 65 -89 -61 -47 9 9
18 -171 25 11 46 46 -59 -73 18 53 53 -52 -66 -31 -31 25 60 60 46 46 -24 18 4 -10 -80 -80 25 11 46 46 -3 32 32 18 18 -52 -73 18 53 53 4 39 39 25 25 -45 25 60 60 46 46 -24 -108 -108 -73 -87
38 38 -4 -116 45 45 -46 -88 10 66 66 -88 10 66 66 -32 24 24 17 17 -158 -39 24 17 -32 -32 24 17 -32 -32 -25 31 31 24 24 -46 -60 -67 -11 -11 -4 52 52 45 45 -25 -4 52 52 45 45 -25 3 3 -67 -74
-32 -11 -4 -60 31 31 -4 3 -53 38 38 -11 -32 24 24 -25 31 31 10 10 -39 -4 3 -32 38 38 -11 -11 -11 -11 -4 31 31 31 31 -74 -4 -4 31 31 3 -67 -67 38 38 -32 -11 24 24 24 24 -81 31 31 -39 -39
20 -92 -43 -43 27 27 34 83 83 -57 -57 -134 -134 41 41 -85 90 90 90 90 -71 -64 90 90 -50 -50 -22 -22 -57 -57 -78 97 97 97 97 -64 104 104 -36 -36 -162 13 13 13 13 -148 -64 111 111 111 111 -50 -155 -155 -1 -1
-61 30 -117 -117 30 30 16 -26 -26 16 16 65 65 -33 -33 -82 65 65 65 65 -33 -5 -12 -12 -5 -5 79 79 -54 -54 -68 79 79 79 79 -54 65 65 -68 -68 -82 65 65 65 65 -68 -96 16 16 16 16 -117 -96 -96 16 16
26 -9 -44 -44 61 61 19 -16 -16 -16 -16 -51 -51 54 54 -86 19 19 19 19 -2 -44 26 26 26 26 -9 -9 -44 -44 -44 61 61 61 61 -205 19 19 19 19 -16 -16 -16 -16 -16 -37 -51 54 54 54 54 -107 19 19 -2 -2
30 -26 30 -166 44 44 30 -40 -5 -5 -5 30 -61 44 44 -5 -5 -5 9 9 9 -40 -5 30 30 30 -40 -26 -26 -26 30 30 30 44 44 -61 -5 30 30 30 -40 -40 -40 -5 -5 -5 30 30 30 44 44 -166 -5 -5 -5 9
12 -24 6 0 16 15 12 -3 -9 7 6 6 0 16 15 -15 1 0 -20 -36 -5 -12 3 12 -17 -3 -18 -24 -8 -9 6 7 6 16 15 1 3 12 -17 -3 -3 -2 -3 7 6 -8 6 7 6 16 15 1 1 0 -14 -5
2 -12 72 72 -54 30 -68 -89 -89 -5 -26 2 2 -19 -40 -19 65 44 65 44 23 -40 79 79 -82 37 65 65 -96 23 -61 23 -103 23 -103 -19 9 9 -47 -33 -12 72 51 72 51 30 -26 58 37 58 37 16 -173 -89 -5 -5
-166 -103 -61 -61 -26 -33 -5 37 37 72 65 -5 -5 30 23 37 72 65 72 65 -110 -5 37 37 72 65 -5 -5 30 23 37 72 65 72 65 -110 -12 -12 23 16 -75 -40 -47 -40 -47 -12 -12 23 16 23 16 -54 -145 -47 -12 -12
76 76 -8 -134 13 27 -64 -148 41 83 97 -148 41 83 97 -43 -1 13 -22 -8 -71 -148 83 62 -1 -92 83 62 -1 -92 -22 20 34 -1 13 -50 -57 -78 -141 -127 48 90 104 69 83 20 48 90 104 69 83 20 -120 -106 -64 -85
