2506 2752
196 3469
1043 5206
194 9139
15 48
184 1334
72 910
74 173
46 7128
157 1940
1409 4613
836 9322
24 716
208 13213
683 897
644 882
793 1639
5876 14189
179 925
1639 10420
192 4717
83 4110
185 199
355 5168
13 3326
46 11092
103 129
1043 1409
33 49
917 2773
175 14249
46 148
4167 8480
24 1400
103 3420
163 5125
1517 4167
1109 1280
24 10171
1236 4013
2254 8677
199 1280
159 8492
204 3302
1043 1569
82 943
15 109
103 1143
17 943
205 2233
3537 5036
33 157
105 4918
205 9720
1235 7178
668 1560
157 4794
1 1421
8 24
183 7543
8 1109
836 1773
4918 7561
506 2431
63 7849
1109 1588
703 2292
1908 3142
797 4915
1109 3265
1540 5125
8 1823
8 4609
17 3076
103 793
197 1639
686 1254
53 943
53 88
1535 7783
49 4436
204 2122
49 355
20 5374
194 201
49 4830
868 3552
24 770
17 133
79 2136
24 46
3295 7783
148 915
133 189
169 5071
78 1607
20 179
103 3523
183 10216
64 4804
105 1385
643 11621
15 192
162 920
918 9718
119 157
386 2173
179 857
206 499
78 919
82 148
3420 12907
103 192
749 1908
166 7751
2823 4578
3 2309
162 12117
1537 2239
185 3908
166 12084
205 1209
643 3397
24 536
79 1540
206 4104
106 1283
917 1034
209 1479
536 915
995 3295
133 2823
107 736
800 5337
2105 3420
2263 13213
179 1319
197 503
836 3908
173 3420
942 1236
24 7561
1034 9202
1123 7543
1278 13213
995 10420
82 2105
201 988
74 2173
1560 1639
46 179
1639 4804
49 1143
1895 2120
109 9649
