20 49 103 157 179 1214 4040
170 201 203 915 1123 1383 6823
15 192 203 703 836 915 2105 4651
46 192 749 1109 3420 5125 9202
157 171 185 205 1236 2105 4013
157 171 179 774 2105 3523 7543
103 192 205 836 1031 2431 3295
103 119 157 185 198 205 1350
34 107 190 192 207 736 7627
178 188 192 200 205 2136 2173
20 157 185 203 836 2105 5876
133 176 988 1162 1569 2823 4420 4794 10021
88 157 173 203 208 1034 5125
3 16 201 925 1067 4968 7635
15 24 28 208 839 996 1034
8 103 686 868 913 1280 1918 3420 5125
88 157 194 203 208 868 5125
5 88 156 169 201 1109 4510
8 35 184 204 643 871 1409
15 46 770 918 1538 2302 2980
20 49 167 179 703 777 3523
179 201 208 929 1280 2105 3523
61 166 181 193 204 1517 12084
49 157 915 1280 1383 2105 3523 5125 9202
20 24 68 179 1021 1109 5071
156 169 194 201 689 1109 4510
49 103 164 207 765 4040 4651
173 182 199 884 2747 3857 12907
82 106 162 177 193 205 920
170 1043 1161 1409 1713 3079 5207 7922 7976 11621
20 105 157 163 199 1099 1109
76 164 179 203 207 703 4651
49 199 206 1021 1278 5125 9202
162 192 204 205 1031 2173 9078
103 164 179 194 1385 4651 6205
20 157 199 203 1099 1383 5125
159 176 194 207 1535 2431 7849
49 157 185 192 208 1236 3420
105 159 770 1538 2254 2980 3922 4660 6214 11092
20 103 105 201 1286 2105 3523 3908 7543
162 192 196 204 205 1031 1385
24 105 162 206 943 1109 1160
15 24 138 167 839 920 1196
8 133 157 749 1043 1160 4794
15 82 171 204 1107 1538 3302
63 82 157 208 915 1109 2179
24 173 203 208 1007 1021 3420
3 20 49 103 167 703 1443
15 63 194 205 836 2485 5270
56 190 192 386 821 2136 2173
6 49 157 170 179 1123 2105
46 49 157 171 199 8677 13210
15 170 194 770 918 1538 2980
76 179 192 203 836 2105 5876
24 162 204 839 1031 2122 2176 9199
8 15 88 686 797 943 1109 1908
162 204 839 920 2122 2176 5134 9199
24 163 173 210 749 1449 3709
6 82 170 179 201 1236 2105
74 190 192 200 203 386 4609
3 20 157 179 2105 3523 5168
70 179 199 203 1021 1280 3523
162 166 204 871 920 1385 8683
24 103 749 1109 1278 5125 9202
137 157 185 203 836 1449 2105
5 24 105 167 779 797 1445 2311 3705
49 157 179 208 929 1280 3523
157 162 163 196 995 1535 3295
49 103 157 168 179 183 1280
49 171 179 194 770 1449 1660
185 203 779 1278 2263 3523 13213
20 24 49 103 707 793 1031 2553
24 192 203 386 821 1031 2050 2173
24 163 173 203 749 1449 5125
49 157 170 194 1280 2105 13210
20 103 157 203 836 2105 9202
20 24 751 836 980 1021 1109 2431
24 28 88 208 996 1034 1683
133 156 194 200 988 1160 3078
20 76 157 185 203 2105 5876
63 155 177 207 2776 9722 12117
63 175 197 1015 1209 2230 3256 4804 10420
3 8 201 851 882 929 1236
24 162 163 192 797 1031 1687 7849
3 103 179 203 668 986 4651
20 49 103 157 199 793 5125 9202
20 24 27 173 210 751 4794
142 156 170 851 1280 1512 8472
3 103 166 643 1236 1280 3860 7126 7635
3 49 170 179 857 1280 7539
24 192 203 208 703 3420 9202
77 199 203 208 1280 1619 3420
3 8 35 82 162 184 1409
49 179 201 668 2105 3199 4651
103 194 199 203 868 1021 5125
79 190 205 386 912 2050 2173 2752
157 199 689 1109 1538 5125 9718
56 162 163 192 205 1031 2173
11 46 173 209 694 1094 5101 9229
105 133 179 206 749 848 1109
20 49 103 703 765 1443 4651
170 201 203 777 1123 3523 9619
49 157 168 171 179 2105 7543
20 169 836 961 1024 1537 2239 2822
49 179 194 195 355 2120 4651
20 153 205 751 1031 2176 4834
20 49 179 749 1034 3523 9202
145 162 182 193 207 2375 4167
15 192 206 355 703 915 917 2105 2120 2179 2773
24 105 159 749 770 1109 1538 2254 2980 4660 6214
15 24 178 793 839 1389 1683
163 204 205 707 1031 2122 9649
24 64 109 163 793 1015 1325
24 48 175 194 210 749 3709
3 20 49 103 167 179 1560
46 157 173 206 749 3142 4609
44 167 198 204 643 871 1385
199 203 208 1383 4106 5125 7840
20 49 157 185 836 2105 9062
194 199 203 208 1280 2108 9202
63 162 192 200 1540 3297 12117
49 171 179 194 201 209 1449
24 185 203 749 1278 3523 9202
15 20 24 28 707 1000 1031
162 193 204 871 1283 1517 2713 3981
103 157 164 1535 4040 4651 6337
169 178 194 201 689 1021 5125
103 162 179 201 751 3908 6205
24 33 200 749 770 868 1445 2254 3579
167 184 186 871 3537 5036 8492
8 184 643 871 1409 3537 4613 6296
15 24 88 150 178 192 206
20 103 105 199 857 1383 3523
106 182 193 195 683 897 2757
82 88 194 204 206 943 1109
8 162 176 200 686 1160 3142 4794
3 82 196 851 929 1236 7024
63 175 197 199 793 2485 5341 8884
33 157 162 175 1043 3574 7953
3 49 103 678 1280 1365 4868
20 103 203 836 915 1099 3295 5125
157 162 163 192 995 2839 10420 14249
24 192 203 749 836 5125 9202
103 105 185 199 857 1280 3523
8 23 80 162 685 920 1540
49 157 174 197 208 1123 9343
9 24 192 209 779 1325 1449
15 24 63 208 536 839 1034 1683 2179
103 157 168 185 192 2105 3420
8 82 162 184 942 1333 4968
20 88 157 163 199 836 5125
103 157 168 678 915 1280 2105
24 105 133 206 749 943 1109
3 82 159 184 844 1334 7178
103 157 179 192 199 1109 3420
46 173 199 203 1007 1021 2227
8 27 133 194 200 644 1160 3076
8 35 162 184 871 1409 3537
20 49 157 179 1485 5168 9615
20 24 163 203 749 1383 5374 10216
15 24 63 138 203 208 839
3 35 82 184 643 871 1409
3 179 203 668 703 2105 4651
63 176 192 208 915 1109 2179
20 49 103 179 703 3523 7539
8 54 184 201 942 2726 4968
157 170 179 199 857 1280 3523
24 173 202 206 797 3142 10018
179 192 201 203 208 2105 2179
6 20 49 157 179 2105 4665
1 8 133 176 200 639 788
20 49 103 765 1560 4438 4651
8 105 133 943 1109 1588 4512
82 162 193 195 204 2757 3326
188 192 205 386 716 2050 2136 2173
3 8 35 82 169 184 201
46 49 168 179 1280 2105 3420
24 203 749 1034 2179 5125 9202
176 179 205 703 836 1385 2105 3908
63 157 199 203 836 965 4223
20 49 94 157 793 836 1560 2485
8 88 133 169 1109 1588 4512
103 157 159 164 179 3908 4013 15238
63 94 162 192 990 2431 2822
162 191 204 205 920 2176 5134
3 8 33 35 157 162 184
79 162 192 821 1610 2050 2173
8 82 170 184 201 1236 1333
88 157 173 203 208 329 5125
15 103 178 192 207 2485 6337
48 157 185 208 749 2263 9202 13213
8 35 103 157 162 749 1350
28 63 205 539 1031 1687 2176 4834 10366
157 159 176 194 200 643 4794
94 169 205 793 1209 2485 4436
