15 105 4915
35 184 1334
192 201 1535
82 148 3298
24 1109 1160
208 2179 3265
15 914 1031
49 172 208
210 836 2485
203 774 1379
929 1895 2120
15 126 1280
157 765 986
35 871 2378
386 2136 2173
49 703 4013
179 1109 2179
1109 3295 9721
46 7128 12907
157 173 925
749 1109 4987
8 184 1333
103 703 1236
163 779 7570
703 1379 1449
49 1139 1325
162 1043 5206
24 920 2776
943 1109 4510
20 109 119
917 1034 5268
643 871 3397
3 355 5168
167 169 1385
103 749 868
204 1031 2038
15 28 536
64 162 4804
851 882 7155
204 839 1591
82 204 2179
8 201 7024
24 976 2556
105 1334 3824
162 2498 3326
20 203 9202
204 839 9199
1109 5125 9721
63 195 536
8 142 156
88 686 1109
749 1160 3142
1432 1908 3142
163 1031 5134
103 203 1383
84 103 179
1540 4106 5125
871 1254 7191
15 839 7846
1280 3993 4915
83 839 4657
208 5269 9064
703 1034 2179
82 1334 3824
197 993 1639
643 1409 11621
205 1909 9720
191 2776 12117
157 194 200
88 105 1109
175 749 5125
133 210 1043
169 194 5125
203 2263 13213
27 62 133
82 871 2378
15 192 3295
169 173 749
46 148 5211
157 749 4794
15 707 4918 7561
84 205 2176
80 88 686
103 1236 4013
157 159 9718
8 144 644
48 1449 5125
201 5077 9695
1094 1280 3420
133 2823 4578
162 5205 7953
178 1000 6645
184 871 12784
3 1280 3523
205 2431 10366
49 765 1319
63 77 5125
178 1535 7783
185 3420 9229
3 115 1409
80 88 4510
15 79 103
49 925 2105
748 1909 9720
157 195 2239
63 839 920
173 199 5125
162 204 8683
82 851 1236
20 179 4436
8 1540 4794
703 1109 2179
82 204 4987
24 1325 2485
46 77 1530
910 2747 3420
34 207 1060
192 196 5101
184 871 1303
24 821 2136
167 1445 1569
103 1319 1535
3 20 2105
194 1109 2105
6 49 205
2980 8569 10984
63 5126 9720
138 916 1536
868 1400 5211
3 201 643
103 694 1280
33 35 1569
871 1385 2713
178 192 9229
683 804 897
162 920 1109
24 49 9202
159 876 12700
918 3420 9718
192 1254 6106
836 1109 1588
24 79 891
3 8 1235
686 749 3142
179 668 4040
49 103 3523
184 1236 7635
94 1000 2485
176 643 988
46 4794 9433
15 84 1031
1325 1639 2485
175 199 14249
686 1094 7474
142 156 8472
79 686 1254
24 1109 8908
148 915 1540
157 179 355
103 192 201
48 749 2263
24 63 192
49 703 5168
63 506 2822
851 929 1236
83 178 767
194 1921 5125
8 1823 3071
15 109 163
1254 2173 3718
8 88 1588
103 836 1443
204 4167 14023
179 2357 4436
169 201 2281
49 793 4830
185 196 3469
153 1031 2176
156 1540 12117
162 912 2050
46 884 3420
