169 173 1109 5071
8 148 176 1109
20 49 185 3523
24 63 192 9721
103 857 1383 3523
20 149 160 9059
162 204 4167 7751
157 749 1043 10171
123 836 1021 2179
197 199 793 3256
35 159 201 3860
3 35 84 4167
24 162 1109 1908
49 173 749 1325
20 82 173 1449
192 836 1109 9202
49 199 777 3523
20 179 925 3908
8 145 1161 1409
82 105 1334 2717
20 26 163 836
82 105 157 915
49 729 1236 3420
81 200 3297 9702
157 868 1350 4939
15 24 88 5125
185 201 3523 12570
103 2105 3908 4651
103 199 836 2485
82 851 1109 2980
156 177 506 2239
24 736 821 4825
24 162 5206 7921
176 196 1535 1561
15 28 150 178
8 133 797 10021
49 173 208 9202
196 205 1687 7849
793 1139 1325 5074
178 192 536 5270
103 918 1109 1385 9718
103 185 678 2105
24 206 749 4104
148 157 1109 5125
20 33 105 3523
147 162 194 2431
46 158 770 1660
145 1591 1626 4167
20 24 703 1385
156 179 5672 14795
185 203 749 1278
169 176 201 686
105 206 770 1383
199 1021 1109 5125
84 193 204 5431
35 184 201 1409
28 1000 1050 2485
11 208 3420 5101
24 33 770 1511
46 1109 2105 9202
92 185 777 857
15 24 63 7849
68 1021 1329 1635
33 1043 3574 7953
20 105 157 2105
24 103 173 3420
3 915 1280 7024
46 49 2105 9202
20 157 185 9062
8 24 33 749
44 1043 1713 7922 11621
179 1278 2263 13213
103 157 751 1143
3 915 1280 1383
163 195 836 1639
56 190 205 2173
24 179 836 1139
3 103 4438 6337
76 203 2105 7225
156 169 201 2281
3 129 4586 5801
703 836 1449 9202
103 164 183 4872
84 1517 2201 4167
82 836 961 2431
24 203 3420 9250
103 678 2105 3908
179 703 2105 12570
175 197 503 1639
133 206 749 1579
208 749 2263 9202 13213
3 49 170 926
49 103 793 1383
103 876 1319 1535
103 857 1280 3523
3 179 926 2105
147 204 1385 3589
82 148 193 3298
210 1000 1209 2485
82 836 2431 7849
157 857 3523 9615
157 179 1280 4868
49 185 4040 4651
192 779 1278 2989
64 157 206 12385
49 103 205 1143
26 157 194 965
63 995 2839 4804 9999
503 1015 1639 2230 4804
175 1021 4104 5125
24 46 770 5125 8677
770 1280 2980 11092
195 793 1639 2485
3 103 157 915
20 33 203 9345
13 683 804 1517
15 839 920 5134
137 201 203 1449
204 839 2122 9199
20 1449 2105 5876
24 103 836 3295
8 46 686 4794 9433
20 566 1725 5374
205 703 925 1236
15 208 1109 2989
179 194 201 1660
20 179 774 3523
163 192 1000 5737
157 199 836 4436
159 177 192 990
206 917 2179 5268
56 386 1031 2173
192 915 1109 2774
79 192 207 2050
103 157 793 857
8 183 749 3579
33 49 119 157
15 167 918 6322
46 77 175 770
162 1283 1517 4167
162 723 1038 1409
24 194 1538 9826
84 162 204 1517
20 84 1517 4167
162 196 204 2173
157 168 1280 2105
169 686 749 1259
179 1068 1160 5295
20 207 836 1535
15 204 920 5134
20 836 1449 9256
15 24 138 4669
169 184 186 3537
63 162 199 14249
23 191 685 1540
61 193 2713 12084
173 686 3857 12907
184 942 2726 3898
82 198 668 7635
94 205 836 2485
192 205 4436 4653
33 943 2254 2707
206 1383 2707 8677
82 184 643 1409
62 169 204 2764
8 16 1280 1660
15 20 797 836
15 103 915 4651
179 195 355 929
82 177 2713 5134
24 27 105 169
20 203 1034 9202
194 943 1109 4510
179 194 209 1660
171 703 2108 13210
24 192 200 2136
3 103 203 7539
35 145 157 723
20 148 836 990
133 157 176 1109
201 836 2105 9202
11 103 192 3420
15 148 1109 5125
49 103 1143 1560
751 990 2569 5358
105 206 1160 8350
49 170 185 678
145 1409 1713 7976
24 175 194 2485
46 868 2254 3552
15 193 839 4110
63 148 915 1540
24 1024 1205 4794
79 192 386 4645
204 800 2506 5337
8 1160 2254 9433
6 777 933 1226
105 169 1109 1383 5125
103 157 2747 3857
49 103 793 1143
49 185 703 836
15 915 2485 5125
88 192 206 797
46 185 204 703
15 204 1031 1105
35 184 1409 3079
3 8 170 3537
204 205 707 9649
157 2625 3523 9615
162 176 205 1909
20 836 1449 2105
150 178 707 3202
163 199 913 8677
16 24 2532 3420
3 44 115 6296
64 129 1015 4804
20 203 703 7543
170 189 203 3523
163 995 2839 3295
49 210 749 836
15 178 793 1389
15 24 208 536
157 176 1109 2980
208 703 1034 9202
159 871 2609 8492
