27 27 -1 6 13 13 13 -155 -43 34 34 -15 -8 34 34 -71 6 6 13 13 20 -1 27 13 -15 -15 27 13 -50 -50 6 13 13 -1 -1 -64 13 -1 6 6 -43 34 34 20 20 -8 -8 34 34 20 20 -148 13 13 20 6
-38 46 -66 -199 46 46 46 -31 -59 46 46 53 25 -10 -10 -87 53 53 25 25 -10 46 -31 -38 46 46 53 46 -45 -45 -66 53 53 46 46 -45 -52 46 -10 -10 -31 -52 -52 46 46 -10 53 -3 -3 -10 -10 -206 53 53 -3 -10
50 -20 -6 -6 78 64 57 -34 -34 -55 36 1 1 85 71 -230 -6 -55 -6 -55 64 -104 50 50 -6 -20 -20 -20 -111 -125 -6 78 64 78 64 -132 57 57 1 -13 -34 -55 36 -55 36 -20 1 85 71 85 71 -230 -6 -55 64 64
36 50 22 -167 57 57 43 -90 -69 50 50 29 -55 29 29 -83 36 36 -48 -48 36 -13 -6 36 -6 -6 8 50 -62 -62 22 15 15 57 57 -160 1 43 -34 -34 -90 8 8 50 50 -27 29 -13 -13 29 29 -83 36 36 -6 36
48 -29 -106 -106 48 41 41 69 69 -162 -64 -8 -8 41 34 -106 69 62 69 62 -64 -57 76 76 -15 -22 -1 -1 -57 -64 -99 76 69 76 69 -22 69 69 -22 -29 -29 6 -1 6 -1 -127 -211 69 62 69 62 -29 -29 -36 -1 -1
-2 19 40 33 -9 19 -23 33 26 -86 -163 54 47 -30 -2 -37 26 54 19 47 -65 19 40 33 -9 19 -184 -86 12 5 -65 33 26 26 19 12 54 47 -30 -2 -37 26 54 19 47 -65 -51 47 40 40 33 -9 -44 -156 47 40
27 41 13 -78 41 41 55 -113 -99 55 55 41 -50 34 34 -113 41 41 -50 -50 34 -15 -8 27 -15 -15 6 41 -71 -71 13 6 6 41 41 -71 20 55 -22 -22 -113 20 20 55 55 -22 41 -1 -1 34 34 -183 41 41 -1 34
-22 6 76 69 6 -15 -22 27 20 -78 -204 76 69 6 -15 -92 55 34 48 27 -71 6 76 69 6 -15 -211 -113 -71 13 -43 -1 83 -8 76 13 76 69 6 -15 -92 55 34 48 27 -71 -43 -1 83 -8 76 13 -64 -190 62 55
48 -29 -92 -190 34 34 27 69 76 -50 -50 -8 -1 13 13 -64 55 55 62 62 -64 -162 90 97 6 6 13 20 -71 -71 -43 76 76 83 83 -8 69 76 -15 -15 -197 27 27 34 34 -197 -64 55 55 62 62 -29 -106 -106 13 20
88 -24 -52 -157 81 74 88 60 60 -157 -59 -157 -52 81 74 -80 53 46 53 46 -66 -199 88 88 11 4 -24 -24 -101 -108 -52 81 74 81 74 -3 88 88 11 4 -45 -17 -24 -17 -24 -136 -52 81 74 81 74 -3 -52 -59 -31 -31
12 19 33 -170 61 61 12 26 -72 54 54 33 -65 61 61 -51 -30 -30 -23 -23 -23 -170 -51 12 12 12 -44 19 19 19 33 33 33 61 61 -65 -51 12 12 12 26 26 26 54 54 -72 33 33 33 61 61 -170 -30 -30 -51 -23
-26 23 -26 -173 30 23 44 -26 -47 51 44 44 2 -5 -12 -47 51 44 9 2 -5 44 -26 -26 51 44 44 23 -40 -47 -26 51 44 30 23 -40 -61 44 16 9 -26 -159 -61 51 44 16 44 16 9 -5 -12 -180 51 44 16 -5
